해당함수,시스템콜 목록,CVE(패치버전) 목록
ext4_es_insert_extent,"fallocate, mkdir, msync, write",CVE-2023-45898(6.5.3)
__dquot_alloc_space,"fallocate, mkdir, write",CVE-2024-26878(?)
ext4_mb_find_by_goal,mkdir,CVE-2024-26772(?)
set_user_nice,setpriority,CVE-2022-48944(?)
fixup_exception,"arch_prctl, ioctl, prctl, quotactl, setsockopt",CVE-2024-26706(?)
native_tss_update_io_bitmap,"ioperm, iopl, write",CVE-2020-15852(5.7.9)
write,"eventfd2, openat, pipe, pipe2, read, rt_sigaction",CVE-2024-42121(?)
__fpu_restore_sig,rt_sigreturn,CVE-2024-26603(?)
restore_fpregs_from_user,rt_sigreturn,CVE-2024-26603(?)
exit_mmap,exit_group,CVE-2018-1000200(?)
add_interrupt_randomness,"clone, close, exit_group, mq_unlink, socket, statx, sync, writev",CVE-2020-16166(5.7.11)
untrack_pfn,exit_group,CVE-2024-35877(?)
unlink_anon_vmas,"exit_group, io_destroy, mremap, munmap, shmdt",CVE-2022-42703(5.19.6)
exit_files,exit_group,CVE-2021-20226(5.9.2)
disassociate_ctty,exit_group,CVE-2020-29660(5.9.13)
do_notify_parent,exit_group,CVE-2020-12826(5.6.4)
__put_task_struct,exit_group,CVE-2021-20226(5.9.2)
task_numa_free,exit_group,CVE-2019-20934(5.2.5)
internal_get_user_pages_fast,"futex, sendmsg, vmsplice",CVE-2020-29374(5.7.2)
futex_requeue,futex,CVE-2018-6927(4.14.14)
futex_lock_pi,futex,CVE-2021-3347(5.10.11)
attach_mnt,unshare,CVE-2020-12114(5.2.21)
ptrace_may_access,"get_robust_list, kcmp, openat, pidfd_getfd, readlink",CVE-2022-30594(5.17.1)
__ptrace_may_access,"get_robust_list, kcmp, openat, pidfd_getfd, readlink",CVE-2015-8709(4.4.1)
setup_sysctl_set,unshare,CVE-2021-4218(?)
insert_header,unshare,CVE-2023-52596(?)
get_links,unshare,CVE-2023-52596(?)
drop_sysctl_table,unshare,CVE-2019-20054(5.0.5)
setup_net,unshare,CVE-2019-10639(5.0.7)
netfilter_net_init,unshare,CVE-2023-3338(?)
audit_net_init,unshare,CVE-2021-47603(?)
